Company_Name,City,State,Persona,Industry,Q1_Customer_Discovery,Q1.2_Retail_Marketplaces,Q1.3_Digital_Trade,Q1.1_Manual_Methods,Q1.4_Quick_Commerce,Q1.5_Gov_Portals,Q2_Communication,Q2.2_CRM_Software,Q3_Feedback,Q3.1_Ticketing_Tool,Q4_Repeat_Customers,Q4.1_Repeat_Tracking_Tool,Q5_Drop_offs,Q5.1_Drop_off_Tool,Q6_Internal_Operations,Q6.1_Digital_Areas,Q6.1.1_Productivity_Tools,Q6.1.2_Sales_Marketing_Tools,Q6.1.3_Operations_Tools,Q6.1.4_Inventory_Tools,Q6.1.5_Manufacturing_Tools,Q6.1.6_Supply_Chain_Tools,Q6.1.8_Accounting_Tools,Q6.1.9_Analytics_Tools,Q6.2_Cloud_Deployment,Q6.2.1_Cloud_Details,Q6.3_Integration,Q7_Document_Management,Q8_Backup_Frequency,Q9_Historical_Data,Q10_Data_Consistency,Q11_Manufacturing_Automated,Q12_Machines_Integrated,Q13_Data_Quality,Q14_Data_Security,Q15_AI_Usage,Q15.1.1_AI_Productivity,Q15.1.9_AI_Accounting,Q16_AI_Training,Q17_AI_Roadmap,Q18_AI_Investment,Maturity_Score,Maturity_Category
"Bhagat, Chaudhari and Bhat",Sonipat,Uttar Pradesh,Traditionalist,Manufacturing,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Manually (Phone calls/In-person),N/A,No formal recording (Verbal only),N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,No,No,No defined process for data accuracy,Minimal / ad-hoc,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,No,0.0,Digital Laggard
Kothari and Sons,Jorhat,Manipur,Traditionalist,Services,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,6.7,Digital Laggard
Sami and Sons,Surendranagar Dudhrej,Haryana,Traditionalist,Manufacturing,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Manually (Phone calls/In-person),N/A,No formal recording (Verbal only),N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Never,No,No,No,No,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,No,3.3,Digital Laggard
Savant PLC,Dhanbad,Rajasthan,Traditionalist,Retail,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Manually (Phone calls/In-person),N/A,No formal recording (Verbal only),N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,6.7,Digital Laggard
"Aurora, Chander and Khalsa",Vellore,Meghalaya,Traditionalist,Retail,Manual / Partially Digital,N/A,N/A,"Social Media (WhatsApp, Facebook, Instagram)",N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Never,No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Minimal / ad-hoc,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,3.3,Digital Laggard
Kala-Rattan,Dehradun,Madhya Pradesh,Transitioning MSME,Services,Digital Trade Platforms,N/A,IndiaMART,N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We track repeat customers manually using basic digital tools,N/A,We track customer drop-offs informally or manually,N/A,Digitally (using Software/Tools),General Productivity & Office Work,Zoho Workplace,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On Premises Software Systems,N/A,Partially integrated,Cloud Storage,Regularly (Weekly or Monthly),Yes,No,Not Applicable,Not Applicable,Regular reviews or validations,Defined security policies and controls,We are exploring or learning about AI,N/A,N/A,Informal guidance,Informal plans,Yes,46.7,Digital Adopter
Ramakrishnan LLC,Baranagar,Maharashtra,Transitioning MSME,IT,Digital Trade Platforms,N/A,"IndiaMART, TradeIndia",N/A,N/A,N/A,Basic Customer Software (Standard or Custom made),N/A,Recorded manually in a diary or register,N/A,We track repeat customers manually using basic digital tools,N/A,We do not track customer drop-offs,N/A,Digitally (using Software/Tools),General Productivity & Office Work,Slack,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Partly On-Premises /Cloud Based,AWS (Amazon Web Services),Not integrated,Cloud Storage,Regularly (Weekly or Monthly),No,Yes,Not Applicable,Not Applicable,Regular reviews or validations,Defined security policies and controls,"No, we do not currently use AI",N/A,N/A,Informal guidance,Informal plans,Maybe,40.0,Digital Adopter
"Sur, Dubey and Gupta",Bellary,Arunachal Pradesh,Traditionalist,Manufacturing,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Manually (Phone calls/In-person),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,No,No,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,6.7,Digital Laggard
"Bhat, Murthy and Bhandari",Bhimavaram,Meghalaya,Transitioning MSME,IT,Online Retail Marketplaces,"Amazon, Flipkart",N/A,N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded in Excel/Spreadsheets,N/A,We track repeat customers manually using basic digital tools,N/A,We track customer drop-offs informally or manually,N/A,Digitally (using Software/Tools),"General Productivity & Office Work, Sales & Marketing",Zoho Workplace,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Partly On-Premises /Cloud Based,Zoho Cloud,Partially integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,Not Applicable,Not Applicable,Regular reviews or validations,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,Informal guidance,No roadmap,Maybe,26.7,Digital Laggard
"Wali, Dugar and Bhandari",Gaya,Assam,Transitioning MSME,IT,Online Retail Marketplaces,Amazon,N/A,N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We track repeat customers manually using basic digital tools,N/A,We track customer drop-offs informally or manually,N/A,Digitally (using Software/Tools),"General Productivity & Office Work, Inventory Management, Sales & Marketing",Zoho Workplace,Interakt,N/A,myBillBook,N/A,N/A,N/A,N/A,Cloud based Software systems,AWS (Amazon Web Services),Not integrated,Cloud Storage,Regularly (Weekly or Monthly),No,No,Not Applicable,Not Applicable,Regular reviews or validations,Defined security policies and controls,"No, we do not currently use AI",N/A,N/A,Informal guidance,No roadmap,Maybe,40.0,Digital Adopter
"Bir, Keer and Raval",Jehanabad,Haryana,Traditionalist,Manufacturing,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Manually (Phone calls/In-person),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,No,No,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,6.7,Digital Laggard
"Baral, Bumb and Saini",Bhilwara,Gujarat,Tech-Savvy Digital Native,Manufacturing,Quick Commerce Platforms,N/A,"IndiaMART, TradeIndia",N/A,Zepto,N/A,Advanced Digital Software / CRM Software,"Zoho CRM, HubSpot CRM",Managed through a digital ticketing system or CRM,Salesforce Service Cloud,We track repeat customers through advanced digital tools,Freshsales,We track customer drop-offs using basic/advanced digital tools,Zoho CRM,Digitally (using Software/Tools),"Data, Reporting & Analytics, Operations & Process Management, Sales & Marketing, Supply Chain & Procurement, Inventory Management, General Productivity & Office Work, Manufacturing & Production","Zoho Workplace, Slack",Freshsales,Microsoft Power Automate,ERPNext,Zoho ERP for Manufacturing,Locus,N/A,Google Looker Studio,Cloud based Software systems,Microsoft Azure,Partially integrated,Cloud Storage,Automatically (Daily or Real-time),Yes,Yes,Yes,Yes,Data quality is continuously monitored,Defined security policies and controls,"Yes, AI is actively used across multiple business functions",Zoom AI,Power BI,Documented policies,Actively executing roadmap,Yes,90.0,Digital Leader
"Murthy, Khare and Lanka",Mira-Bhayandar,Sikkim,Tech-Savvy Digital Native,Services,Online Retail Marketplaces,Flipkart,N/A,N/A,N/A,N/A,Advanced Digital Software / CRM Software,HubSpot CRM,Managed through a digital ticketing system or CRM,"Zendesk, Zoho Desk",We track repeat customers through advanced digital tools,TallyPrime,We track customer drop-offs using basic/advanced digital tools,Mailchimp,Digitally (using Software/Tools),"Supply Chain & Procurement, Accounting & Finance, Data, Reporting & Analytics, Manufacturing & Production",N/A,N/A,N/A,N/A,Zoho ERP for Manufacturing,Locus,Tally Prime,Google Looker Studio,Cloud based Software systems,Google Cloud Platform (GCP),Partially integrated,Cloud Storage,Automatically (Daily or Real-time),Yes,Yes,Not Applicable,Not Applicable,Automated checks,Defined security policies and controls,AI is central to our core decision-making,"ChatGPT, Notion AI",Tableau,Documented policies,Actively executing roadmap,Yes,90.0,Digital Leader
"Mital, Shankar and Mutti",Bangalore,Manipur,Traditionalist,Services,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Manually (Phone calls/In-person),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Never,No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,6.7,Digital Laggard
"Chaudhry, Borah and Yogi",Guna,Himachal Pradesh,Traditionalist,Retail,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,No formal recording (Verbal only),N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Never,No,No,Not Applicable,Not Applicable,No defined process for data accuracy,Minimal / ad-hoc,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,No,0.0,Digital Laggard
Palla Inc,Uluberia,Jharkhand,Transitioning MSME,IT,Online Retail Marketplaces,"Amazon, Flipkart",N/A,N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We track repeat customers manually using basic digital tools,N/A,We track customer drop-offs informally or manually,N/A,Digitally (using Software/Tools),"Inventory Management, Sales & Marketing, Accounting & Finance",N/A,N/A,N/A,myBillBook,N/A,N/A,Zoho Books,N/A,Cloud based Software systems,N/A,Not integrated,Digital files on local devices,Regularly (Weekly or Monthly),No,No,Not Applicable,Not Applicable,Regular reviews or validations,Defined security policies and controls,We are exploring or learning about AI,Gemini,ChatGPT,Informal guidance,Informal plans,Yes,40.0,Digital Adopter
Sarma PLC,Pudukkottai,Uttar Pradesh,Traditionalist,Manufacturing,Manual / Partially Digital,N/A,N/A,"Social Media (WhatsApp, Facebook, Instagram)",N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Never,No,No,No,No,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,Maybe,6.7,Digital Laggard
"Wadhwa, Anand and Mistry",Guntur,Himachal Pradesh,Traditionalist,Manufacturing,Manual / Partially Digital,N/A,N/A,Word of mouth only,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We do not track repeat customers digitally,N/A,We do not track customer drop-offs,N/A,Manually,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not integrated,Digital files on local devices,Never,No,No,No,No,No defined process for data accuracy,Basic security measures in place,"No, we do not currently use AI",N/A,N/A,No guidelines,No roadmap,No,3.3,Digital Laggard
Chhabra Ltd,Darbhanga,Jharkhand,Transitioning MSME,Manufacturing,Online Retail Marketplaces,Amazon,N/A,N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded in Excel/Spreadsheets,N/A,We track repeat customers manually using basic digital tools,N/A,We track customer drop-offs informally or manually,N/A,Digitally (using Software/Tools),Inventory Management,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,On Premises Software Systems,N/A,Not integrated,Cloud Storage,Regularly (Weekly or Monthly),No,Yes,Yes,Yes,Regular reviews or validations,Defined security policies and controls,"No, we do not currently use AI",N/A,N/A,Informal guidance,Informal plans,Maybe,33.3,Digital Laggard
"Kade, Oza and Jani",Dibrugarh,Meghalaya,Transitioning MSME,Manufacturing,Online Retail Marketplaces,"Amazon, Flipkart",N/A,N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We track repeat customers manually using basic digital tools,N/A,We do not track customer drop-offs,N/A,Digitally (using Software/Tools),"Accounting & Finance, Inventory Management, Sales & Marketing",N/A,Interakt,N/A,Vyapar Inventory,N/A,N/A,Tally Prime,N/A,Cloud based Software systems,N/A,Not integrated,Cloud Storage,Regularly (Weekly or Monthly),No,No,No,No,Basic checks done manually,Basic security measures in place,We are exploring or learning about AI,ChatGPT,N/A,Informal guidance,No roadmap,Yes,40.0,Digital Adopter
Behl-Chanda,Bally,Arunachal Pradesh,Transitioning MSME,IT,Digital Trade Platforms,N/A,"IndiaMART, TradeIndia",N/A,N/A,N/A,Basic Customer Software (Standard or Custom made),N/A,Recorded manually in a diary or register,N/A,We track repeat customers manually using basic digital tools,N/A,We do not track customer drop-offs,N/A,Digitally (using Software/Tools),General Productivity & Office Work,Slack,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Cloud based Software systems,AWS (Amazon Web Services),Not integrated,Digital files on local devices,Occasionally (Only When Someone Remembers),No,No,Not Applicable,Not Applicable,Regular reviews or validations,Defined security policies and controls,We use AI in a few specific or pilot use cases,N/A,N/A,No guidelines,Informal plans,Yes,43.3,Digital Adopter
Nath and Sons,Nanded,Telangana,Tech-Savvy Digital Native,Finance,Government Portals,N/A,"IndiaMART, TradeIndia",N/A,N/A,N/A,Advanced Digital Software / CRM Software,HubSpot CRM,Managed through a digital ticketing system or CRM,Zendesk,We track repeat customers through advanced digital tools,TallyPrime,We track customer drop-offs using basic/advanced digital tools,HubSpot CRM,Digitally (using Software/Tools),"Supply Chain & Procurement, General Productivity & Office Work, Data, Reporting & Analytics, Operations & Process Management, Manufacturing & Production","Zoho Workplace, Slack",N/A,Zoho One,N/A,Zoho ERP for Manufacturing,ERPNext,N/A,Zoho Analytics,Fully managed by software vendors/service providers,AWS (Amazon Web Services),Partially integrated,Cloud Storage,Regularly (Weekly or Monthly),Yes,Yes,Not Applicable,Not Applicable,Data quality is continuously monitored,Defined security policies and controls,We use AI in a few specific or pilot use cases,"Gemini, Workspace",Power BI,Documented policies,Defined roadmap,Yes,76.7,Digital Leader
Sane-Andra,Aurangabad,Tamil Nadu,Tech-Savvy Digital Native,Services,Quick Commerce Platforms,"Amazon, Flipkart","IndiaMART, TradeIndia",N/A,Zepto,N/A,Advanced Digital Software / CRM Software,Salesforce Essentials,Managed through a digital ticketing system or CRM,Zendesk,We track repeat customers through advanced digital tools,"Zoho CRM, Freshsales",We track customer drop-offs using basic/advanced digital tools,Zoho CRM,Digitally (using Software/Tools),"Sales & Marketing, Supply Chain & Procurement, General Productivity & Office Work, Data, Reporting & Analytics, Accounting & Finance","Asana, Notion",HubSpot,N/A,N/A,N/A,Zoho Inventory,Tally Prime,Zoho Analytics,Cloud based Software systems,Microsoft Azure,Partially integrated,Cloud Storage,Automatically (Daily or Real-time),Yes,Yes,Not Applicable,Not Applicable,Automated checks,Defined security policies and controls,AI is central to our core decision-making,Zoom AI,Zoho Analytics,Documented policies,Actively executing roadmap,Yes,90.0,Digital Leader
Banik LLC,Chinsurah,Chhattisgarh,Transitioning MSME,Retail,Digital Trade Platforms,N/A,TradeIndia,N/A,N/A,N/A,Messaging Tools (SMS/Email/WhatsApp/Social Media),N/A,Recorded manually in a diary or register,N/A,We track repeat customers manually using basic digital tools,N/A,We track customer drop-offs informally or manually,N/A,Digitally (using Software/Tools),"Accounting & Finance, Inventory Management",N/A,N/A,N/A,myBillBook,N/A,N/A,Zoho Books,N/A,Partly On-Premises /Cloud Based,Zoho Cloud,Not integrated,Digital files on local devices,Regularly (Weekly or Monthly),Yes,Yes,Not Applicable,Not Applicable,Basic checks done manually,Defined security policies and controls,We use AI in a few specific or pilot use cases,N/A,N/A,Informal guidance,Informal plans,Maybe,46.7,Digital Adopter
